# 20260718_0914_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
123.118.62.117:8686	有效	37	288
114.254.32.201:18888	有效	13	312
114.254.84.33:8888	有效	19	306
114.254.36.134:8888	有效	52	273
111.192.181.130:8012	无效	0	325
111.192.181.30:8012	无效	0	325
111.192.227.107:4022	无效	0	325
111.193.169.187:4022	无效	0	325
111.193.169.1:4022	无效	0	325
111.193.232.13:9999	无效	0	325
111.193.232.1:9999	无效	0	325
111.193.233.197:4022	无效	0	325
111.193.233.1:9999	无效	0	325
111.193.233.86:4022	无效	0	325
111.193.234.1:9999	无效	0	325
111.193.235.1:9999	无效	0	325
111.193.236.1:9999	无效	0	325
111.193.237.1:9999	无效	0	325
111.193.237.215:9999	无效	0	325
111.193.238.1:9999	无效	0	325
111.193.238.24:9999	无效	0	325
111.193.239.1:9999	无效	0	325
111.193.239.245:9999	无效	0	325
111.194.11.1:8188	无效	0	325
111.194.11.30:8188	无效	0	325
111.194.232.1:4022	无效	0	325
111.194.232.42:4022	无效	0	325
111.194.233.1:4022	无效	0	325
111.194.234.1:4022	无效	0	325
111.194.235.1:4022	无效	0	325
111.194.235.76:4022	无效	0	325
111.194.236.1:4022	无效	0	325
111.194.237.1:4022	无效	0	325
111.194.237.200:4022	无效	0	325
111.194.238.1:4022	无效	0	325
111.194.239.1:4022	无效	0	325
111.196.128.135:20000	无效	0	325
111.196.128.1:20000	无效	0	325
111.196.128.75:8012	无效	0	325
111.196.129.187:20000	无效	0	325
111.196.129.1:20000	无效	0	325
111.196.131.1:20000	无效	0	325
111.196.131.68:20000	无效	0	325
111.196.132.166:20000	无效	0	325
111.196.132.1:20000	无效	0	325
111.196.132.71:20000	无效	0	325
111.196.134.27:4022	无效	0	325
111.196.135.238:8686	无效	0	325
111.196.15.86:4022	无效	0	325
111.196.190.99:5555	无效	0	325
114.240.147.1:45971	无效	0	325
114.240.151.135:45971	无效	0	325
114.240.151.1:45971	无效	0	325
114.241.200.1:8888	无效	0	325
114.241.208.1:4022	无效	0	325
114.241.208.43:4022	无效	0	325
114.241.209.1:4022	无效	0	325
114.241.210.1:4022	无效	0	325
114.241.211.100:4022	无效	0	325
114.241.211.1:4022	无效	0	325
114.241.211.76:4022	无效	0	325
114.241.212.193:4022	无效	0	325
114.241.212.1:4022	无效	0	325
114.241.213.1:4022	无效	0	325
114.241.213.2:4022	无效	0	325
114.241.214.1:4022	无效	0	325
114.241.214.222:4022	无效	0	325
114.241.215.1:4022	无效	0	325
114.241.215.216:4022	无效	0	325
114.241.216.1:4022	无效	0	325
114.241.216.245:4022	无效	0	325
114.241.217.1:4022	无效	0	325
114.241.217.205:4022	无效	0	325
114.241.217.98:4022	无效	0	325
114.241.218.1:4022	无效	0	325
114.241.218.96:4022	无效	0	325
114.241.219.1:4022	无效	0	325
114.241.219.95:4022	无效	0	325
114.241.220.1:4022	无效	0	325
114.241.221.1:4022	无效	0	325
114.241.222.1:4022	无效	0	325
114.241.223.1:4022	无效	0	325
114.241.244.154:4022	无效	0	325
114.241.244.1:4022	无效	0	325
114.241.246.1:4022	无效	0	325
114.241.246.84:4022	无效	0	325
114.241.247.1:4022	无效	0	325
114.241.249.1:4022	无效	0	325
114.241.250.1:4022	无效	0	325
114.241.251.1:4022	无效	0	325
114.241.254.127:4022	无效	0	325
114.241.254.1:4022	无效	0	325
114.241.254.251:4022	无效	0	325
114.241.255.1:4022	无效	0	325
114.243.104.24:8821	无效	0	325
114.243.104.24:8822	无效	0	325
114.243.104.24:8824	无效	0	325
114.243.105.184:8821	无效	0	325
114.243.105.184:8822	无效	0	325
114.243.105.184:8824	无效	0	325
114.243.106.197:8821	无效	0	325
114.243.106.197:8822	无效	0	325
114.243.106.197:8824	无效	0	325
114.243.110.33:8821	无效	0	325
114.243.110.33:8822	无效	0	325
114.243.110.33:8824	无效	0	325
114.246.182.184:4022	无效	0	325
114.246.65.69:4022	无效	0	325
114.249.111.71:4022	无效	0	325
114.249.20.52:8012	无效	0	325
114.252.192.30:10000	无效	0	325
114.252.229.134:8000	无效	0	325
114.252.7.252:8686	无效	0	325
114.253.223.154:5400	无效	0	325
114.253.247.226:4022	无效	0	325
114.253.254.109:4022	无效	0	325
