央视,#genre#
CCTV-10科教-HD,http://114.222.8.67:8001/rtp/239.49.8.54:9818,有效
CCTV-10科教-HD,http://dx.joygala.cn:8118/rtp/239.49.8.54:9818,有效
CCTV-10科教-HD,http://j1900.silicaite.top:58888/rtp/239.49.8.54:9818,有效
CCTV-10科教-HD,http://clnas.heylc.com:4022/rtp/239.49.8.54:9818,有效
CCTV-10科教-HD,http://istoreos.sclvip.top:8787/rtp/239.49.8.54:9818,有效
CCTV-11戏曲-HD,http://114.222.8.67:8001/rtp/239.49.0.127:8000,有效
CCTV-11戏曲-HD,http://dx.joygala.cn:8118/rtp/239.49.0.127:8000,有效
CCTV-11戏曲-HD,http://j1900.silicaite.top:58888/rtp/239.49.0.127:8000,有效
CCTV-11戏曲-HD,http://clnas.heylc.com:4022/rtp/239.49.0.127:8000,有效
CCTV-11戏曲-HD,http://istoreos.sclvip.top:8787/rtp/239.49.0.127:8000,有效
CCTV-12社会与法-HD,http://114.222.8.67:8001/rtp/239.49.8.135:6000,有效
CCTV-12社会与法-HD,http://dx.joygala.cn:8118/rtp/239.49.8.135:6000,有效
CCTV-12社会与法-HD,http://j1900.silicaite.top:58888/rtp/239.49.8.135:6000,有效
CCTV-12社会与法-HD,http://clnas.heylc.com:4022/rtp/239.49.8.135:6000,有效
CCTV-12社会与法-HD,http://istoreos.sclvip.top:8787/rtp/239.49.8.135:6000,有效
CCTV-13新闻-HD,http://114.222.8.67:8001/rtp/239.49.0.196:8000,有效
CCTV-13新闻-HD,http://dx.joygala.cn:8118/rtp/239.49.0.196:8000,有效
CCTV-13新闻-HD,http://j1900.silicaite.top:58888/rtp/239.49.0.196:8000,有效
CCTV-13新闻-HD,http://clnas.heylc.com:4022/rtp/239.49.0.196:8000,有效
CCTV-13新闻-HD,http://istoreos.sclvip.top:8787/rtp/239.49.0.196:8000,有效
CCTV-14少儿-HD,http://114.222.8.67:8001/rtp/239.49.8.136:6000,有效
CCTV-14少儿-HD,http://dx.joygala.cn:8118/rtp/239.49.8.136:6000,有效
CCTV-14少儿-HD,http://j1900.silicaite.top:58888/rtp/239.49.8.136:6000,有效
CCTV-14少儿-HD,http://clnas.heylc.com:4022/rtp/239.49.8.136:6000,有效
CCTV-14少儿-HD,http://istoreos.sclvip.top:8787/rtp/239.49.8.136:6000,有效
CCTV-15音乐-HD,http://114.222.8.67:8001/rtp/239.49.0.128:8000,有效
CCTV-15音乐-HD,http://dx.joygala.cn:8118/rtp/239.49.0.128:8000,有效
CCTV-15音乐-HD,http://j1900.silicaite.top:58888/rtp/239.49.0.128:8000,有效
CCTV-15音乐-HD,http://clnas.heylc.com:4022/rtp/239.49.0.128:8000,有效
CCTV-15音乐-HD,http://istoreos.sclvip.top:8787/rtp/239.49.0.128:8000,有效
CCTV-16奥林匹克-HD,http://114.222.8.67:8001/rtp/239.49.8.31:8000,有效
CCTV-16奥林匹克-HD,http://dx.joygala.cn:8118/rtp/239.49.8.31:8000,有效
CCTV-16奥林匹克-HD,http://j1900.silicaite.top:58888/rtp/239.49.8.31:8000,有效
CCTV-16奥林匹克-HD,http://clnas.heylc.com:4022/rtp/239.49.8.31:8000,有效
CCTV-16奥林匹克-HD,http://istoreos.sclvip.top:8787/rtp/239.49.8.31:8000,有效
CCTV-17农业农村-HD,http://114.222.8.67:8001/rtp/239.49.8.132:6000,有效
CCTV-17农业农村-HD,http://dx.joygala.cn:8118/rtp/239.49.8.132:6000,有效
CCTV-17农业农村-HD,http://j1900.silicaite.top:58888/rtp/239.49.8.132:6000,有效
CCTV-17农业农村-HD,http://clnas.heylc.com:4022/rtp/239.49.8.132:6000,有效
CCTV-17农业农村-HD,http://istoreos.sclvip.top:8787/rtp/239.49.8.132:6000,有效
CCTV-1综合-HD,http://114.222.8.67:8001/rtp/239.49.0.207:8000,有效
CCTV-1综合-HD,http://dx.joygala.cn:8118/rtp/239.49.0.207:8000,有效
CCTV-1综合-HD,http://j1900.silicaite.top:58888/rtp/239.49.0.207:8000,有效
CCTV-1综合-HD,http://clnas.heylc.com:4022/rtp/239.49.0.207:8000,有效
CCTV-1综合-HD,http://istoreos.sclvip.top:8787/rtp/239.49.0.207:8000,有效
CCTV-2财经-HD,http://114.222.8.67:8001/rtp/239.49.8.130:6000,有效
CCTV-2财经-HD,http://dx.joygala.cn:8118/rtp/239.49.8.130:6000,有效
CCTV-2财经-HD,http://j1900.silicaite.top:58888/rtp/239.49.8.130:6000,有效
CCTV-2财经-HD,http://clnas.heylc.com:4022/rtp/239.49.8.130:6000,有效
CCTV-2财经-HD,http://istoreos.sclvip.top:8787/rtp/239.49.8.130:6000,有效
CCTV-3综艺-HD,http://114.222.8.67:8001/rtp/239.49.0.28:8000,无效
CCTV-3综艺-HD,http://dx.joygala.cn:8118/rtp/239.49.0.28:8000,无效
CCTV-3综艺-HD,http://j1900.silicaite.top:58888/rtp/239.49.0.28:8000,无效
CCTV-3综艺-HD,http://clnas.heylc.com:4022/rtp/239.49.0.28:8000,无效
CCTV-3综艺-HD,http://istoreos.sclvip.top:8787/rtp/239.49.0.28:8000,无效
CCTV-4中文国际-HD,http://114.222.8.67:8001/rtp/239.49.8.131:6000,有效
CCTV-4中文国际-HD,http://dx.joygala.cn:8118/rtp/239.49.8.131:6000,有效
CCTV-4中文国际-HD,http://j1900.silicaite.top:58888/rtp/239.49.8.131:6000,有效
CCTV-4中文国际-HD,http://clnas.heylc.com:4022/rtp/239.49.8.131:6000,有效
CCTV-4中文国际-HD,http://istoreos.sclvip.top:8787/rtp/239.49.8.131:6000,有效
CCTV-5+体育赛事-HD,http://114.222.8.67:8001/rtp/239.49.8.18:9610,有效
CCTV-5+体育赛事-HD,http://dx.joygala.cn:8118/rtp/239.49.8.18:9610,有效
CCTV-5+体育赛事-HD,http://j1900.silicaite.top:58888/rtp/239.49.8.18:9610,有效
CCTV-5+体育赛事-HD,http://clnas.heylc.com:4022/rtp/239.49.8.18:9610,有效
CCTV-5+体育赛事-HD,http://istoreos.sclvip.top:8787/rtp/239.49.8.18:9610,有效
CCTV-5体育-HD,http://114.222.8.67:8001/rtp/239.49.0.29:8000,无效
CCTV-5体育-HD,http://dx.joygala.cn:8118/rtp/239.49.0.29:8000,无效
CCTV-5体育-HD,http://j1900.silicaite.top:58888/rtp/239.49.0.29:8000,无效
CCTV-5体育-HD,http://clnas.heylc.com:4022/rtp/239.49.0.29:8000,无效
CCTV-5体育-HD,http://istoreos.sclvip.top:8787/rtp/239.49.0.29:8000,无效
